29/07/2026 20:17:12 Info      File path D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\\Logs\EView360ATMStreamingService26Jul29.txt
29/07/2026 20:17:12:63 Info      EView360ATMStreaming.DoInit                  Version : EView360ATMStreamingService Version 1.0.0.0, Build Date 11-Feb-2023
29/07/2026 20:17:12:63 Info      EView360ATMStreaming.DoInit                  Worker Threads begin execution after 15 seconds.
29/07/2026 20:17:12:63 Info      EView360ATMStreaming.DoInit                  hostname:,logFilePath:D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\\Logs,TransportQueuePath:D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\\TransportQueue,uploadRefreshInterval:5,cutOverIntervalDays:40, heartBeatRefreshInterval:600
29/07/2026 20:17:28:71 Info      EView360ATMStreaming.FileProcessor           Entered
29/07/2026 20:17:37:56 Info      EView360ATMStreaming.ReadCounterFile         Processed file for the first time: C:\program files\ncr aptra\advance NDC\CCMSAgent\Counter1.dll.
29/07/2026 20:17:38:55 Info      Communicator.Connect                         Connecting to WIN-7QMNL13:16328
29/07/2026 20:17:38:64 Info      Communicator.Connect                         Connection established
29/07/2026 20:17:38:65 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_1_438_23
29/07/2026 20:17:38:65 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:66 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:71 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_2_406_23
29/07/2026 20:17:38:71 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:71 Info      Communicator.Upload                          server replied:OK
